epoch,accuracy,loss,val_accuracy,val_loss
0,0.83411574,0.406284870734165,0.86406094,0.375095795338529
1,0.85633266,0.3743380010687661,0.8634518,0.35603222920809907
2,0.8615348,0.3617435750627456,0.86690354,0.35496468760640487
3,0.8639201,0.35843049286797746,0.8601015,0.3858794163931445
4,0.86345065,0.35590226837808064,0.8630457,0.35466714146778666
5,0.8642119,0.3537808276992147,0.8601015,0.36841488977071596
6,0.86569643,0.3534178852771791,0.86629444,0.35182941488203057
7,0.86440223,0.3534650102056939,0.85431474,0.3707212913701982
8,0.8658614,0.35102914125245294,0.86670053,0.34856146804572363
9,0.8663689,0.3494235043726773,0.86649746,0.35072274097936407
10,0.8665973,0.3496188820807516,0.8671066,0.3540061950623081
11,0.8667876,0.3483044955001515,0.8683249,0.34498038999320285
12,0.8664704,0.34802396246270495,0.8657868,0.3460382463121172
13,0.8670033,0.34590792229711187,0.8649746,0.3462031729451291
14,0.86655927,0.3472581564204853,0.8671066,0.3445309912371756
15,0.86655927,0.3469853975831877,0.86436546,0.34886324423521303
16,0.8669145,0.3458284072642803,0.86659896,0.34465658491638107
17,0.86730784,0.34526335507979944,0.86172587,0.35200935014008267
18,0.86753625,0.34545740163852323,0.8672081,0.34354832256505935
19,0.86761236,0.34512384582306094,0.8681218,0.3428504998913876
20,0.8678281,0.3444535220607419,0.8677157,0.3430950382034186
21,0.86738396,0.34456909429549953,0.8671066,0.34417646174503463
22,0.86738396,0.3446511606520076,0.8653807,0.3538644122835343
23,0.8681706,0.3450348680401204,0.8679188,0.3424385192491076
24,0.867993,0.3438457373954035,0.8648731,0.348084219588241
25,0.86824673,0.34370731446799097,0.86598986,0.34361914954814815
26,0.867993,0.34396743240941374,0.86730963,0.3430534563935953
27,0.8682214,0.34392001722683435,0.86680204,0.34414212226867674
28,0.8684244,0.3432329341995721,0.86730963,0.3407581528975879
29,0.8678534,0.34309531805884774,0.8683249,0.34163367497739455
30,0.8681706,0.3435138234642757,0.8675127,0.343354246628466
31,0.8681326,0.34311274322649815,0.8660914,0.3448081304246399
32,0.86773926,0.3426760776590417,0.8683249,0.34087331661718145
33,0.86864007,0.3427498842542928,0.8676142,0.34217893840697816
34,0.86875427,0.3420428324534366,0.8681218,0.3412665778791844
35,0.86824673,0.3427756471239834,0.86893404,0.3406947823587408
36,0.86900806,0.34205788777568313,0.86598986,0.345273893266765
37,0.86853856,0.3416078820460479,0.86822337,0.34257173240487343
38,0.8681833,0.3415153579792139,0.86690354,0.3421059993862501
39,0.86843705,0.34195700888372726,0.8680203,0.3398847622738272
40,0.86865276,0.3415910165550763,0.8681218,0.3401881690739375
41,0.8681579,0.34141573701041095,0.8683249,0.3407958126431189
42,0.86855125,0.34077650140452426,0.86903554,0.33857294798502463
43,0.86848783,0.34105173654883225,0.86700505,0.34312363777668947
44,0.8682721,0.3414229629388072,0.8654822,0.3421321867686238
45,0.8681072,0.3404655875440788,0.8684264,0.3395249357199306
46,0.86855125,0.339806425575828,0.86873096,0.33773115017087324
47,0.86861473,0.3414835710926729,0.8674112,0.3438749102347998
48,0.8688304,0.3414448859138363,0.86883247,0.33910712052722874
49,0.86877966,0.34031781464528515,0.86893404,0.3373802638053894
50,0.86869085,0.33995647766596954,0.8684264,0.34019449128717333
51,0.8691096,0.3393824729113371,0.86639595,0.34031209882140767
52,0.8683863,0.3392410005495997,0.8694416,0.3372457305307921
53,0.86844975,0.3398898610600413,0.8681218,0.33817746801424753
54,0.86875427,0.33961648908422126,0.86862946,0.3410207011917521
55,0.86850053,0.34025605939695275,0.8693401,0.3402367518940553
56,0.8691349,0.3393619245212558,0.8660914,0.3383440683033261
57,0.8683229,0.3389977554705099,0.8683249,0.3376477297490018
58,0.8693633,0.3384875941543362,0.8685279,0.34085567441688575
59,0.8690461,0.33979253862229464,0.8672081,0.34430850079822056
60,0.86861473,0.33952466691248484,0.8671066,0.33821052090165576
61,0.86876696,0.33778129578420213,0.86629444,0.34243501227519235
62,0.86867815,0.33876261416220776,0.8684264,0.3408640557194724
63,0.8685259,0.3391330977478069,0.8685279,0.3388206014899433
64,0.8689446,0.33862230967155804,0.8681218,0.33831864075612295
65,0.86880505,0.3387407687464238,0.86883247,0.3373678070337034
66,0.86912227,0.33852763983599954,0.86883247,0.3361839180428365
67,0.8693379,0.33746705290633344,0.8699492,0.33849898638459025
68,0.8693252,0.33828831861717745,0.8684264,0.33687305878261625
69,0.86864007,0.33801372533224855,0.8675127,0.3399166068752405
70,0.8693887,0.3378857759646855,0.86649746,0.338076346952298
71,0.8689827,0.33738716079134995,0.8627411,0.34655287202239643
72,0.8694775,0.3372442518422667,0.86690354,0.3405895047562982
73,0.86879236,0.33769519755168553,0.8680203,0.3370087322486839
74,0.8691476,0.33727629084040706,0.86873096,0.33906784499357195
75,0.8688304,0.3370986212212563,0.86883247,0.3373860375590736
76,0.86891925,0.33787580869302936,0.8683249,0.33987443047126537
