epoch,accuracy,loss,val_accuracy,val_loss
0,0.83666605,0.4012730773017943,0.86142135,0.35770420956732657
1,0.86216915,0.3561064090432181,0.87137055,0.3452138457504021
2,0.8651889,0.35112352780070377,0.8684264,0.3420880214332929
3,0.8655822,0.34842887119588994,0.86923856,0.339956162635445
4,0.86622936,0.3482838736014059,0.86954314,0.3377474941033397
5,0.8665339,0.34663462272820417,0.87086296,0.33910923060426856
6,0.8680437,0.34211456096459414,0.86862946,0.3387188190675629
7,0.8694775,0.3427105529696225,0.86416245,0.3544135999740078
8,0.869579,0.340092862082238,0.873198,0.3357234526769764
9,0.86993426,0.33983963074798673,0.8705584,0.3364239331066306
10,0.8700231,0.3397288922405093,0.8676142,0.34286669820093263
11,0.8704291,0.3388316555848979,0.8704569,0.336954689159006
12,0.8702515,0.33853152140036846,0.87086296,0.335882026150747
13,0.8706194,0.3379107199148522,0.87126905,0.3347412433115964
14,0.8703276,0.3380054662697849,0.86822337,0.34089510750649543
15,0.870759,0.337446727913045,0.8707614,0.33942829995591023
16,0.8706956,0.3371049768744963,0.8702538,0.3336358310062873
17,0.870556,0.33649500227163254,0.8719797,0.33265866608184
18,0.8707336,0.3366310502514672,0.87116754,0.33393022659466354
19,0.87079704,0.33583469286140905,0.8674112,0.34048820025122106
20,0.8721547,0.33575572873555215,0.8705584,0.33805294776325906
21,0.87092394,0.3352419689736691,0.87096447,0.33515271559584564
22,0.8720024,0.3353032753925375,0.8715736,0.3334281103441558
23,0.8716979,0.33571151844119357,0.8707614,0.3326896365644968
24,0.8713046,0.3349484500448309,0.8706599,0.33804147973883575
25,0.871736,0.33483934885835637,0.87137055,0.33711517794483203
26,0.8716599,0.33465922609522536,0.8721827,0.3352342951842371
27,0.87144417,0.33463992067003745,0.87086296,0.3341280408438087
28,0.87207854,0.3337508747222039,0.8715736,0.33333099414854483
29,0.8718248,0.3340792234505938,0.871066,0.33222401713356753
30,0.87207854,0.3344651047947394,0.86954314,0.3359804051418595
31,0.8717741,0.33400462400557185,0.87137055,0.33434282226005785
32,0.8720405,0.33360529992524574,0.8698477,0.33974305106298575
33,0.87218004,0.3333399929893701,0.87147206,0.3331486145493948
34,0.8720151,0.3334170540871633,0.87380713,0.33085908343949294
35,0.8722435,0.3329425578916657,0.8699492,0.3343391998588736
36,0.8718248,0.3332231339377953,0.87187815,0.332253585890465
37,0.8730048,0.33255727014478825,0.8715736,0.33055851497020816
38,0.87253535,0.3325136098869378,0.8720812,0.3310018057569029
39,0.87237036,0.33215954724862706,0.87147206,0.33398836431164425
40,0.87254804,0.3319847333808471,0.8720812,0.33096886167066353
41,0.8721166,0.33297889488504245,0.87187815,0.3305380067546961
42,0.87237036,0.3322278557888226,0.87137055,0.33052239524531485
43,0.8722308,0.332265154447262,0.87177664,0.33302821388704523
44,0.8717994,0.3313276719042066,0.87147206,0.33245344628537365
45,0.87250996,0.3318970699520183,0.8723858,0.3349555234316037
46,0.87230694,0.33168633169916356,0.8707614,0.330862645316245
47,0.87261146,0.3317764675076939,0.8723858,0.3302582579881407
48,0.87253535,0.33135387685856926,0.87167513,0.3313575036211062
49,0.87249726,0.3315837477667855,0.8699492,0.34618159723160835
50,0.87248456,0.3310466833541402,0.87116754,0.32898108312926316
51,0.8729921,0.33068487865525464,0.8724873,0.32943966864934426
52,0.87230694,0.3307761713311477,0.8726904,0.3290089662426014
53,0.8726749,0.3306309861681506,0.87350255,0.3301427298572463
54,0.87261146,0.3304353271364231,0.8743147,0.3288819891789238
55,0.8730556,0.3299638184681423,0.87147206,0.3286941138257835
56,0.8725861,0.3302269881826543,0.8723858,0.3300200943051256
57,0.87209123,0.32996347957269745,0.8724873,0.330254104978542
58,0.87252265,0.3297952771766131,0.8722843,0.3287887901037478
59,0.87234503,0.3291992278164644,0.8722843,0.32887506354883844
60,0.8722308,0.3295661910816671,0.87187815,0.32755056248098463
61,0.8727637,0.32943216619339233,0.8706599,0.33189699877942275
62,0.87249726,0.32933966558831507,0.8725888,0.3276623054143741
63,0.8729414,0.32917825538479484,0.87411165,0.3267878029915282
64,0.87285256,0.3288855600976289,0.87350255,0.3304721880019619
65,0.8728779,0.3294910203323188,0.87360406,0.32767615302565134
66,0.8732078,0.32877602666782063,0.87126905,0.3276236223750913
67,0.87262416,0.32879556376566144,0.8726904,0.33100557552376375
68,0.8727637,0.32878133727952585,0.87350255,0.3306493642305965
69,0.8730429,0.328558326706426,0.87137055,0.3292671667379776
70,0.8733474,0.328276010953981,0.8724873,0.32718766637865054
71,0.8731444,0.3283207751055226,0.8729949,0.3372093794430573
72,0.8729794,0.32856896845840095,0.87370557,0.3285256157792764
73,0.87244654,0.32839181183404365,0.87370557,0.32807850975070507
74,0.8728272,0.32887291116222844,0.8715736,0.3310412649152243
75,0.87355036,0.3283703207400951,0.87411165,0.3287640000599895
76,0.8730682,0.32767442185432194,0.87096447,0.32867553792629145
77,0.8728272,0.3273210590612396,0.87187815,0.3273525261273844
78,0.8728779,0.3278342503601019,0.87360406,0.32645153592685755
79,0.8731824,0.32729904561214673,0.87441623,0.3291346976962791
80,0.8729541,0.327454660911118,0.8719797,0.3280276779716995
81,0.873119,0.3273491749935737,0.87390864,0.3314424215476525
82,0.8730682,0.3275116471665928,0.8697462,0.33976894759889786
83,0.8730429,0.3275450509438873,0.87451774,0.3253808328948045
84,0.87347424,0.3269174606380138,0.87350255,0.32886942827156956
85,0.8732332,0.327758243711083,0.8727919,0.32539631107736966
86,0.8731824,0.3272697546857983,0.8719797,0.32574382689398557
87,0.8734235,0.3268171068581836,0.87350255,0.3325292848875075
88,0.87249726,0.32699672311758443,0.8732995,0.3268699617555299
89,0.8730302,0.3269628858078944,0.873401,0.3287686777235893
90,0.87372804,0.32621938046984456,0.8726904,0.3272471028596617
91,0.8731444,0.32708716867076365,0.8722843,0.3314455496417689
92,0.8732078,0.326749767625913,0.8746193,0.3255247328426632
93,0.8732078,0.32705946536526015,0.8748223,0.32574472167165147
94,0.87336004,0.32626105013947493,0.8732995,0.3253307586817572
95,0.8729541,0.3266014746997733,0.8726904,0.32502283935014364
96,0.8733474,0.32671911318451535,0.8724873,0.32702695653523284
97,0.8731697,0.32627046135849697,0.8729949,0.32807472559401224
98,0.87347424,0.32623339376202254,0.87309647,0.32634591586093614
99,0.87393105,0.3263344771281457,0.8719797,0.32589699233243913
