epoch,accuracy,loss,val_accuracy,val_loss
0,0.57164973,0.6892840500867977,0.6425381,0.6854780670955096
1,0.66830766,0.68195794169244,0.69756347,0.6782702823096726
2,0.7018931,0.6749575058366083,0.71218276,0.6713067942222363
3,0.7119294,0.6682995517037219,0.7162437,0.6644122019637054
4,0.71510136,0.6614781607666638,0.71715736,0.6575162403111531
5,0.71875554,0.6545747756794653,0.7187817,0.6505851066294055
6,0.71897125,0.6476895702947933,0.72,0.6436080989014679
7,0.72098863,0.6409910024672033,0.7211167,0.6366731935467211
8,0.7234501,0.6340456168075667,0.7239594,0.6297685035715248
9,0.72522646,0.6272775346739066,0.72741115,0.6229695700630924
10,0.727523,0.620746949672711,0.7314721,0.6163248009124989
11,0.7296039,0.6139913115797982,0.733198,0.6098338899878681
12,0.7318243,0.6079525905416324,0.7347208,0.603562502812613
13,0.7346284,0.6017696447070171,0.73705584,0.5975399098057432
14,0.73569417,0.596105839014144,0.7385787,0.5918694584502786
15,0.73796535,0.5905481384842163,0.740203,0.5864981094713744
16,0.7396402,0.5855633546931133,0.7418274,0.5814696330104383
17,0.74135303,0.580470238762094,0.74395937,0.5767527344263145
18,0.7428122,0.5762361477531379,0.7453807,0.5723953503158492
19,0.74442357,0.5716733427896808,0.7474112,0.5683491208226548
20,0.74574316,0.5678630883941086,0.74883246,0.5646209064594985
21,0.747621,0.5644615578933365,0.7493401,0.5611698650466609
22,0.74801433,0.5610866760065311,0.7498477,0.5580156732210653
23,0.7496511,0.5580037043697654,0.7506599,0.5550789619702373
24,0.7496638,0.5551981851970922,0.7516751,0.5523594501296881
25,0.7510341,0.5521574105193833,0.7523858,0.5498107660240328
26,0.7510975,0.5497457433585439,0.7528934,0.5474449661298452
27,0.7522902,0.5476437957535436,0.7532995,0.5452597322439784
28,0.75308955,0.5452200498831893,0.75370556,0.5432317928977424
29,0.75321645,0.5433080060070554,0.75390863,0.5413373367193387
30,0.7542061,0.5410664572316933,0.75401014,0.5395553524845143
31,0.75416803,0.5395009495964735,0.7550254,0.5378623835447476
32,0.7550943,0.5376897762925719,0.75532997,0.5362827319784212
33,0.7548786,0.5362533365962899,0.75583756,0.5348054517828268
34,0.75532264,0.5347178032092872,0.75614214,0.5333853910417121
35,0.75577945,0.5331845503053412,0.75583756,0.5320491006289642
36,0.75660414,0.5315732567830103,0.75624365,0.5307674320942254
37,0.7566295,0.530198002330762,0.7573604,0.5295333814984046
38,0.7561981,0.5288723610865455,0.7575635,0.5283280163731067
39,0.75692135,0.5277412415948368,0.75837564,0.5272074728447774
40,0.75810134,0.526503074422358,0.75807106,0.5260997425723197
41,0.7579364,0.5257633785103737,0.75847715,0.5250459856067212
42,0.7579491,0.5243581064892641,0.7586802,0.524053701700898
43,0.7587104,0.5233272061817877,0.7590863,0.5231022257127133
44,0.7588373,0.5223371020069941,0.75888324,0.5221417348033885
45,0.7594336,0.5211525272859617,0.7591878,0.5212182846892304
46,0.75950974,0.5203884669049255,0.7592893,0.5203469545102967
47,0.7599538,0.5194611258379963,0.75878173,0.5195240953731053
48,0.75963664,0.5185249777934321,0.75857866,0.5186534146730065
49,0.7601695,0.5176670971778472,0.7591878,0.5178706013490706
50,0.7603979,0.5167554562673308,0.75898474,0.5170726547144391
51,0.76033443,0.515847462569823,0.7594924,0.516363625599043
52,0.7600553,0.515399425883795,0.76020306,0.515620225419853
53,0.7602203,0.5147666115318779,0.76020306,0.5149172421760365
54,0.760474,0.5139014664499024,0.76050764,0.5142332968130935
55,0.7612226,0.512779726495563,0.76101524,0.5135368971171113
56,0.76091814,0.5123850782927586,0.7613198,0.5129032893471306
57,0.7611465,0.5118635892066397,0.7615228,0.5122572068635582
58,0.7614129,0.5111680819695302,0.7622335,0.5116093119025835
59,0.76197124,0.5104578095167662,0.76243657,0.5110257519804282
60,0.76211077,0.5101399847305389,0.762335,0.5104347755945273
61,0.7616667,0.5090786465852647,0.7627411,0.5098462491834225
62,0.76171744,0.508753862104822,0.76304567,0.5092944224352765
63,0.76194584,0.5081567383167644,0.76294416,0.5087308888265929
64,0.76216155,0.5076488004979648,0.76345176,0.5082189869275553
65,0.76223767,0.5074298813090938,0.76345176,0.5076772366199397
